# Group-wide client list. The competitor scan reads ALL of it regardless of
# which brand is sending, because a rival quietly being a client of a sibling
# brand is a conflict for the group. Only rows matching the sending brand can
# ever be named in its email, and only when nameable is true.
#
# Every row below is sourced from a public website. nameable is false by default:
# a logo on a site and clearance to cite in a cold email are different things.
# Flip to true once you have confirmed each one.
name,brand,industry,country,region,services,nameable,since
The House of Abhinandan Lodha,insomniacs,Real Estate,India,India,performance-marketing;brand-creative;martech-ireps,true,
Prestige Group,insomniacs,Real Estate,India,India,,false,
Hiranandani,insomniacs,Real Estate,India,India,,false,
Godrej Properties,insomniacs,Real Estate,India,India,,false,
Signature Global,absolutecx,Real Estate,India,India,crm-platform,false,
Ashar Group,absolutecx,Real Estate,India,India,crm-platform,false,
Solitaire,absolutecx,Real Estate,India,India,crm-platform,false,
Prestige Group,absolutecx,Real Estate,India,India,crm-platform,false,
Shriram Properties,absolutecx,Real Estate,India,India,crm-platform,false,
Gera Developments,absolutecx,Real Estate,India,India,crm-platform,false,
Hiranandani Communities,reventers,Real Estate,India,India,content-strategy,false,
Ajmera Realty,reventers,Real Estate,India,India,content-strategy,false,
Raymond Realty,reventers,Real Estate,India,India,content-strategy,false,
House of Jets,reventers,Real Estate,India,India,content-strategy,false,
Gift City,reventers,Real Estate,India,India,content-strategy,false,
Shapoorji Pallonji,reventers,Real Estate,India,India,content-strategy,false,
DLF,reventers,Real Estate,India,India,content-strategy,false,
